"","subj_idx","stim","response","rt","condition"
"189","1001","0","1",1.48825033400499,"1"
"190","1001","0","1",0.754900917003397,"1"
"191","1001","0","1",1.19222841601004,"1"
"192","1001","0","1",0.658818582989625,"1"
"193","1001","0","1",1.05627520900453,"1"
"194","1001","0.5","1",0.813809957995545,"1"
"195","1001","0.5","1",0.882495040990761,"1"
"196","1001","0.5","1",1.52823366600205,"1"
"197","1001","1.5","0",1.34646200000134,"1"
"198","1001","1.5","1",2.79315679200226,"1"
"199","1001","-1.5","1",0.691441332994145,"-1"
"200","1001","-1.5","1",0.913598415994784,"-1"
"201","1001","-0.5","1",0.786911125003826,"-1"
"202","1001","-0.5","1",0.696993375007878,"-1"
"203","1001","0","0",1.06574337498751,"-1"
"204","1001","0","1",2.55203887500102,"-1"
"205","1001","0","1",1.94995774999552,"-1"
"206","1001","0","1",2.94581983399985,"-1"
"207","1001","0","1",1.52496424999845,"-1"
"208","1001","0","1",1.03346883300401,"-1"
"209","1001","0","0",2.286380791993,"-1"
"210","1001","0","1",2.82522279200202,"-1"
"211","1001","0","1",0.884057082992513,"-1"
"212","1001","0","1",1.74238858300669,"-1"
"213","1001","0","1",2.66061791600077,"-1"
"214","1001","0","1",0.913540500012459,"-1"
"215","1001","0","1",0.798284083997714,"-1"
"216","1001","0","1",2.88919070799602,"-1"
"217","1001","0","1",2.33303470900864,"-1"
"218","1001","0.5","0",1.68349879200105,"-1"
"219","1001","0.5","1",2.10378141699766,"-1"
"220","1001","1.5","0",1.36406174999138,"-1"
"221","1001","1.5","1",0.999567833001492,"-1"
"222","1001","-1.5","1",0.4632184170041,"-1"
"223","1001","-1.5","1",0.826810999991721,"-1"
"224","1001","-0.5","1",1.66175437498896,"-1"
"225","1001","-0.5","1",1.75833616599266,"-1"
"226","1001","0","1",0.882743041991489,"-1"
"227","1001","0","1",0.943055458003073,"-1"
"228","1001","0","0",1.42825541699131,"-1"
"229","1001","0","0",1.81794920800894,"-1"
"230","1001","0","1",1.20906350000587,"-1"
"231","1001","0","0",1.16372337499342,"-1"
"232","1001","0","1",1.00295637499948,"-1"
"233","1001","0","1",1.88739995799551,"-1"
"234","1001","0","0",1.37818537499697,"-1"
"235","1001","0","1",0.923146959001315,"-1"
"236","1001","0","1",0.949916416997439,"-1"
"237","1001","0","1",1.30004808299418,"-1"
"238","1001","0","0",1.84099645899551,"-1"
"239","1001","0","1",0.877783207994071,"-1"
"240","1001","0","1",1.25019312500081,"-1"
"241","1001","0","1",1.07488754199585,"-1"
"242","1001","0.5","0",2.78170454200881,"-1"
"243","1001","0.5","1",1.04809066699818,"-1"
"244","1001","0.5","1",1.98208429198712,"-1"
"245","1001","1.5","1",0.625808415992651,"-1"
"246","1001","1.5","0",3.00993487499363,"-1"
"247","1001","-1.5","1",0.793753915990237,"1"
"248","1001","-1.5","1",0.901352041008067,"1"
"249","1001","-0.5","1",0.630167041992536,"1"
"250","1001","-0.5","1",0.729838708997704,"1"
"251","1001","0","0",0.892257084007724,"1"
"252","1001","0","1",0.79352975000802,"1"
"253","1001","0","1",0.843809041994973,"1"
"254","1001","0","1",1.06940887500241,"1"
"255","1001","0","1",0.766612624996924,"1"
"256","1001","0","1",1.22635833300592,"1"
"257","1001","0","1",2.44624141699751,"1"
"258","1001","0","1",0.851970916002756,"1"
"259","1001","0","1",0.792777792012203,"1"
"260","1001","0","1",1.03873625000415,"1"
"261","1001","0","1",0.880101500006276,"1"
"262","1001","0","1",3.11719758399704,"1"
"263","1001","0","1",0.798493999987841,"1"
"264","1001","0","1",0.750737249996746,"1"
"265","1001","0","1",1.36213175000739,"1"
"266","1001","0","1",1.23267887499242,"1"
"267","1001","0.5","1",1.22368499998993,"1"
"268","1001","0.5","1",1.07163962500636,"1"
"269","1001","0.5","1",3.34640224999748,"1"
"270","1001","1.5","0",1.57955279199814,"1"
"271","1001","1.5","0",1.23691125000187,"1"
"272","1001","-1.5","1",0.859112209000159,"0"
"273","1001","-1.5","1",0.79655445899698,"0"
"274","1001","-0.5","1",1.01984249999805,"0"
"275","1001","-0.5","1",0.814606750005623,"0"
"276","1001","0","1",0.934625291993143,"0"
"277","1001","0","0",0.971399041998666,"0"
"278","1001","0","0",2.69130212499294,"0"
"279","1001","0","0",2.03368724999018,"0"
"280","1001","0","1",1.14164741701097,"0"
"281","1001","0","1",0.743808082988835,"0"
"282","1001","0","1",0.787759166996693,"0"
"283","1001","0","1",1.67815849999897,"0"
"284","1001","0","1",2.76362800000061,"0"
"285","1001","0","1",1.33619004199863,"0"
"286","1001","0","1",1.22144654199656,"0"
"287","1001","0","0",1.01847425001324,"0"
"288","1001","0","1",0.942102000000887,"0"
"289","1001","0","1",1.01001516600081,"0"
"290","1001","0","1",1.06918962499185,"0"
"291","1001","0","0",2.64285941699927,"0"
"292","1001","0.5","1",1.42675541598874,"0"
"293","1001","0.5","1",0.82254454199574,"0"
"294","1001","0.5","0",1.28813216699928,"0"
"295","1001","1.5","0",1.1524754580023,"0"
"296","1001","1.5","0",1.13381545800075,"0"
"297","1002","-1.5","0",1.23140716701164,"-1"
"298","1002","-1.5","0",0.742249040995375,"-1"
"299","1002","-0.5","0",1.44561695899756,"-1"
"300","1002","-0.5","0",1.6072145000071,"-1"
"301","1002","-0.5","0",1.01488499999687,"-1"
"302","1002","0","0",1.65501029200095,"-1"
"303","1002","0","0",1.2327092919877,"-1"
"304","1002","0","1",3.41210441700241,"-1"
"305","1002","0","1",1.99850679199153,"-1"
"306","1002","0","0",3.30848191700352,"-1"
"307","1002","0","0",3.32718620800006,"-1"
"308","1002","0","0",0.693943250007578,"-1"
"309","1002","0","0",2.47913820898975,"-1"
"310","1002","0","1",1.62430754200614,"-1"
"311","1002","0","1",2.29168037501222,"-1"
"312","1002","0","1",2.34700679100933,"-1"
"313","1002","0","1",3.07789462499204,"-1"
"314","1002","0","0",1.84685291700589,"-1"
"315","1002","0","1",1.28585425000347,"-1"
"316","1002","0","1",3.16657958299038,"-1"
"317","1002","0","0",1.70606912500807,"-1"
"318","1002","0.5","1",1.10366170899943,"-1"
"319","1002","0.5","0",3.43183420799323,"-1"
"320","1002","1.5","1",1.87898520799354,"-1"
"321","1002","1.5","1",1.55607983400114,"-1"
"322","1002","-1.5","0",0.934173000001465,"1"
"323","1002","-1.5","0",1.13185774999147,"1"
"324","1002","-0.5","0",2.35305866699491,"1"
"325","1002","-0.5","1",2.75766733298951,"1"
"326","1002","-0.5","0",2.77005179200205,"1"
"327","1002","0","1",2.81883487499726,"1"
"328","1002","0","1",3.30526733299484,"1"
"329","1002","0","0",2.50448979200155,"1"
"330","1002","0","0",1.61422504200891,"1"
"331","1002","0","1",3.05469437500869,"1"
"332","1002","0","1",1.48378037499788,"1"
"333","1002","0","0",1.52532525001152,"1"
"334","1002","0","1",1.72305987500295,"1"
"335","1002","0","1",1.08479629100475,"1"
"336","1002","0","1",2.09485529200174,"1"
"337","1002","0","0",2.75998191701365,"1"
"338","1002","0","0",3.79603991699696,"1"
"339","1002","0","0",1.4674715000001,"1"
"340","1002","0","1",0.937736541993218,"1"
"341","1002","0","1",1.13381183300226,"1"
"342","1002","0","0",3.09398087499721,"1"
"343","1002","0.5","1",1.01775691700459,"1"
"344","1002","0.5","1",1.19130449999648,"1"
"345","1002","1.5","1",2.04216983300284,"1"
"346","1002","1.5","1",0.870968832998187,"1"
"347","1002","-1.5","0",2.00354700000025,"0"
"348","1002","-1.5","0",0.805894791992614,"0"
"349","1002","-0.5","0",2.42544512500172,"0"
"350","1002","-0.5","0",0.727696833011578,"0"
"351","1002","-0.5","0",1.16131141599908,"0"
"352","1002","0","0",1.03775141699589,"0"
"353","1002","0","1",3.21572725000442,"0"
"354","1002","0","0",2.59678575000726,"0"
"355","1002","0","0",1.14076400001068,"0"
"356","1002","0","1",2.38452525000321,"0"
"357","1002","0","1",1.39274937500886,"0"
"358","1002","0","0",2.1327345000027,"0"
"359","1002","0","1",0.923955209000269,"0"
"360","1002","0","0",2.32008554099593,"0"
"361","1002","0","1",3.02520345900848,"0"
"362","1002","0","0",2.27499674999854,"0"
